                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                 1.4647,                0.82819,                 1.4494,                0.40797,                0.52655,                0.28264,                0.16139,                  1.545,                0.81162,                 1.6085,             0.00021213,             0.00021213,             0.00021213
                     73,                   1.47,                0.84119,                 1.4508,                 0.4708,                0.31869,                0.30886,                0.16503,                 1.5332,                0.82459,                 1.6069,             0.00020506,             0.00020506,             0.00020506
                     74,                 1.4526,                0.83491,                 1.4389,                0.54575,                 0.3548,                0.31303,                0.17994,                 1.4878,                0.79528,                 1.5966,             0.00019799,             0.00019799,             0.00019799
                     75,                 1.4427,                0.83058,                 1.4417,                 0.4888,                0.42862,                0.31049,                0.17517,                 1.5321,                0.81505,                 1.6063,             0.00019092,             0.00019092,             0.00019092
                     76,                 1.4385,                0.83923,                 1.4359,                0.39817,                0.56148,                0.27902,                0.16024,                 1.5765,                0.82181,                  1.654,             0.00018385,             0.00018385,             0.00018385
                     77,                 1.4383,                0.83483,                 1.4418,                0.54269,                0.26969,                0.24639,                0.14333,                 1.5297,                0.80417,                 1.6233,             0.00017679,             0.00017679,             0.00017679
                     78,                 1.4464,                0.81218,                 1.4419,                0.50494,                0.34427,                0.33806,                0.19246,                 1.5236,                0.79843,                 1.6055,             0.00016972,             0.00016972,             0.00016972
                     79,                 1.4481,                0.83072,                 1.4285,                0.45148,                0.43488,                0.36897,                0.21344,                 1.5231,                0.82061,                 1.6046,             0.00016265,             0.00016265,             0.00016265
                     80,                  1.443,                0.81614,                 1.4391,                0.46277,                0.45699,                0.31973,                0.19402,                 1.5309,                0.80463,                  1.619,             0.00015558,             0.00015558,             0.00015558
                     81,                 1.4404,                0.82494,                  1.439,                0.43161,                0.39741,                0.29357,                0.16627,                 1.5457,                0.81164,                 1.6281,             0.00014851,             0.00014851,             0.00014851
                     82,                 1.4299,                0.81276,                 1.4252,                0.39553,                0.45143,                0.29684,                0.17935,                  1.487,                0.80264,                 1.5973,             0.00014144,             0.00014144,             0.00014144
                     83,                 1.4301,                0.81157,                 1.4466,                0.62519,                0.35235,                0.31651,                0.18661,                 1.4602,                0.81359,                 1.5772,             0.00013437,             0.00013437,             0.00013437
                     84,                 1.4402,                0.81066,                 1.4387,                0.39422,                0.54269,                0.27686,                 0.1587,                 1.4964,                0.80927,                 1.6015,             0.00012731,             0.00012731,             0.00012731
                     85,                 1.4107,                0.80361,                 1.4231,                0.62626,                0.35739,                0.29751,                0.17319,                 1.5082,                0.78854,                 1.5944,             0.00012024,             0.00012024,             0.00012024
                     86,                 1.4183,                0.78864,                 1.4212,                0.44011,                 0.5347,                0.29207,                0.16747,                 1.5144,                0.81689,                 1.6049,             0.00011317,             0.00011317,             0.00011317
                     87,                 1.4009,                0.79148,                 1.4034,                0.43858,                0.42162,                0.30978,                0.16572,                 1.4929,                0.77377,                 1.5858,              0.0001061,              0.0001061,              0.0001061
                     88,                 1.4183,                0.80168,                 1.4198,                0.45823,                0.43158,                0.30348,                0.17284,                 1.4721,                0.77535,                 1.5649,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                 1.4256,                0.79424,                 1.4348,                0.44134,                0.37359,                0.29854,                0.16931,                 1.5232,                 0.7918,                 1.6097,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                 1.4137,                0.79571,                 1.4162,                0.43502,                0.45936,                0.29582,                0.15587,                 1.5404,                0.78339,                 1.6191,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                 1.3538,                0.74102,                 1.4764,                0.46999,                0.45699,                0.31142,                0.17558,                 1.4923,                0.78764,                 1.5863,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                 1.3476,                0.73916,                 1.4777,                0.43915,                 0.4304,                0.30412,                0.18068,                 1.4978,                0.78077,                 1.5773,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                 1.3338,                0.72604,                 1.4537,                0.45595,                0.48536,                0.32269,                0.17847,                 1.4895,                 0.7626,                 1.5814,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                 1.3377,                0.72896,                   1.46,                0.38776,                0.43099,                 0.2967,                0.16749,                 1.4844,                0.77705,                 1.5785,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                 1.3366,                0.72846,                 1.4781,                0.47276,                0.47028,                0.32561,                0.17661,                 1.4744,                0.78159,                 1.5714,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                 1.3258,                0.71061,                 1.4687,                0.47995,                0.38814,                0.32331,                0.17869,                 1.4692,                0.77901,                 1.5649,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                 1.3249,                0.70817,                 1.4722,                0.43218,                0.34588,                0.33239,                0.19756,                 1.4685,                0.78259,                 1.5626,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                 1.3262,                0.70946,                 1.4775,                0.45581,                0.38932,                0.35057,                0.19904,                 1.4727,                0.77917,                 1.5671,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                 1.3239,                0.70837,                 1.4601,                0.48275,                0.36504,                0.34478,                0.20844,                 1.4751,                0.77278,                 1.5691,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                 1.3304,                0.71148,                 1.4604,                 0.4505,                0.38504,                0.37516,                0.21328,                 1.4669,                0.77094,                 1.5662,             1.4209e-05,             1.4209e-05,             1.4209e-05
